text,target
  And they say we don't understand free speech.,0
"RT : If you were pissed at Ebert's ""video games can never be art"" stuff, but hate 's feminist critique of games,STFU …",0
" Holy fuck. Did you just dump that pile of horsecrap into a conversation? Get lost, we're done here.  ",0
"RT : https://t.co/Jdwrv5QNxv

I found the       soundtra…",0
I'm quite certain if we canvassed a convention like PAX with the same survey we'd get the same kind of answers. Wonder what  thinks?,0
"RT : Note to : We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
" I WAANT TO FUCKING STAB YOUR STUPID FUCKING UGLY SHAPED FACE YOU FEMINIST CUNT, KILL YOURSELF, NO ONE WILL CARE BITCH.",1
 u are not a real gamer go die get out of here #GamerGate #fuckyouanita #DramaAlert ,1
"  reliance on sexism stifles creation you say, explains why you have been unable to complete your video series.",1
 Hey Michael Hing from   was wondering if you could sit on my face and let me inhale you ass?,1
 well try sorting issues like Saudi Arabias REAL patriarchy instead of telling me how to sit on public transport you silly cunt!,1
"RT : https://t.co/Jdwrv5QNxv

I found the       soundtra…",0
" you're a sad bunch for supporting this attention whore. you people need to grow up, seriously, the lies she spits is embarrassing.",1
"RT : .  Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
   yes i am dissagreeing with the shirts and im disagreeing that gamergate is filled with harassment,0
"    ""abuse will go away"" That's a good one, now tell us another!",0
"   Also, don't attack people if you can't handle them criticizing you back.",0
 OMG burh jus go and die on a plane er some schiesse i men nodoby give panus bout you,1
  check your privilege m8.,0
   even if I disagree with her sometimes she's still starting dialog and encouraging discussion,0
Women are second class and belong 10 paces behind me or In the kitchen ,1
" So, they've been punishing her ever since.  ",0
"RT : If you were pissed at Ebert's ""video games can never be art"" stuff, but hate 's feminist critique of games,STFU …",0
 FUCK YOU BITCH,1
" you're not being abused, don't act like a victim you bitch. Your being rebelled. Your views are close-minded and ignorant.",1
" I don't like you but I pretend to to piss off my pro-#gamergate friend, I just felt the need to say this",0
" $30,000 in 5 months and you make a video I could in a week for free lol how old are you again? #micdrop 
https://t.co/x8pw4BVy0h",0
"RT : If you were pissed at Ebert's ""video games can never be art"" stuff, but hate 's feminist critique of games,STFU …",0
 Seriously you are dumb. In GTA5 everyone has horrendous violence against them. Fuck off you rancid swine.,1
"If you were pissed at Ebert's ""video games can never be art"" stuff, but hate 's feminist critique of games,STFU forever, hypocrites.",0
"RT : .  Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"RT : The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
" I don't think ""respect"" is precisely what they're after, myself. ""Capitulation"", maybe.  ",0
  stop being a bitch. Its life people make death threats so what. you won't change anything your just as nothing as i am.,1
"RT : Anita and Jon of  are exactly what feminism needs in popular media and gaming, and fuckin' God Bless them for kickin…",0
"RT : The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
" so basically, you're a cunt. I mean if it walks like a duck and quacks like a duck. Take that title and own your ""cuntage""",1
   >400k >I need a new computer I hope that bitch gets cut in half by a goddamn train.,1
 we are the games you stupidly delusional cunt...,1
 oi fuck you mother fucker slut bitch female ass hoe slut fuck you show me your tits,1
" Let me ask you kindly, anita: Get the fuck out of the gaming community, you are like a parasite, would you?",1
"RT : If you were pissed at Ebert's ""video games can never be art"" stuff, but hate 's feminist critique of games,STFU …",0
" you're a fucking bitch, EVERYSINGLE FKN PERSON who plays online gets DEATH THREATS!, and NO one cares, its NOT a big deal.",1
"     ""Its not feminist and man hating enough for me"" is that what you're saying?",0
